;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 2/17/2020 9:28:40 PM
;----------------------------------------------

;Address Opcode 	ASM
0x032C	0x032F      	DECF       FARG_Lcd_Chr_column, 0
0x032D	0x00C0      	MOVWF      R0
0x032E	0x082E      	MOVF       FARG_Lcd_Chr_row, 0
0x032F	0x07C0      	ADDWF      R0, 1
0x0330	0x0840      	MOVF       R0, 0
0x0331	0x00AE      	MOVWF      FARG_Lcd_Chr_row
;__Lib_Lcd.c,76 :: 		
0x0332	0x141F      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,77 :: 		
0x0333	0x0840      	MOVF       R0, 0
0x0334	0x00BC      	MOVWF      FARG_Lcd_Cmd_out_char
0x0335	0x228E      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,79 :: 		
0x0336	0x101F      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,80 :: 		
0x0337	0x0830      	MOVF       FARG_Lcd_Chr_out_char, 0
0x0338	0x00BC      	MOVWF      FARG_Lcd_Cmd_out_char
0x0339	0x228E      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,81 :: 		
0x033A	0x141F      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,82 :: 		
L_end_Lcd_Chr:
0x033B	0x0008      	RETURN
; end of _Lcd_Chr
_Mul_16X16_U:
;__Lib_Math.c,136 :: 		
;__Lib_Math.c,143 :: 		
0x033C	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,144 :: 		
0x033D	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,145 :: 		
0x033E	0x01CB      	CLRF       R11
;__Lib_Math.c,146 :: 		
0x033F	0x01CA      	CLRF       R10
;__Lib_Math.c,147 :: 		
0x0340	0x01C9      	CLRF       R9
;__Lib_Math.c,148 :: 		
0x0341	0x3080      	MOVLW      128
;__Lib_Math.c,149 :: 		
0x0342	0x00C8      	MOVWF      R8
;__Lib_Math.c,150 :: 		
0x0343	0x0CC1      	RRF        R1, 1
;__Lib_Math.c,151 :: 		
0x0344	0x0CC0      	RRF        R0, 1
;__Lib_Math.c,152 :: 		
0x0345	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,153 :: 		
0x0346	0x2B50      	GOTO       $+10
;__Lib_Math.c,154 :: 		
0x0347	0x0844      	MOVF       R4, 0
;__Lib_Math.c,155 :: 		
0x0348	0x07C9      	ADDWF      R9, 1
;__Lib_Math.c,156 :: 		
0x0349	0x0845      	MOVF       R5, 0
;__Lib_Math.c,157 :: 		
0x034A	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,158 :: 		
0x034B	0x0F45      	INCFSZ     R5, 0
;__Lib_Math.c,159 :: 		
0x034C	0x07CA      	ADDWF      R10, 1
;__Lib_Math.c,160 :: 		
0x034D	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,161 :: 		
0x034E	0x0ACB      	INCF       R11, 1
;__Lib_Math.c,162 :: 		
0x034F	0x1003      	BCF        STATUS, 0
;__Lib_Math.c,163 :: 		
0x0350	0x1FC0      	BTFSS      R0, 7
;__Lib_Math.c,164 :: 		
0x0351	0x2B58      	GOTO       $+7
;__Lib_Math.c,165 :: 		
0x0352	0x0844      	MOVF       R4, 0
;__Lib_Math.c,166 :: 		
0x0353	0x07CA      	ADDWF      R10, 1
;__Lib_Math.c,167 :: 		
0x0354	0x0845      	MOVF       R5, 0
;__Lib_Math.c,168 :: 		
0x0355	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,169 :: 		
0x0356	0x0F45      	INCFSZ     R5, 0
;__Lib_Math.c,170 :: 		
0x0357	0x07CB      	ADDWF      R11, 1
;__Lib_Math.c,171 :: 		
0x0358	0x0CCB      	RRF        R11, 1
;__Lib_Math.c,172 :: 		
0x0359	0x0CCA      	RRF        R10, 1
;__Lib_Math.c,173 :: 		
0x035A	0x0CC9      	RRF        R9, 1
;__Lib_Math.c,174 :: 		
0x035B	0x0CC8      	RRF        R8, 1
;__Lib_Math.c,175 :: 		
0x035C	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,176 :: 		
0x035D	0x2B43      	GOTO       $-26
;__Lib_Math.c,177 :: 		
0x035E	0x084B      	MOVF       R11, 0
;__Lib_Math.c,178 :: 		
0x035F	0x00C3      	MOVWF      R3
;__Lib_Math.c,179 :: 		
0x0360	0x084A      	MOVF       R10, 0
;__Lib_Math.c,180 :: 		
0x0361	0x00C2      	MOVWF      R2
;__Lib_Math.c,181 :: 		
0x0362	0x0849      	MOVF       R9, 0
;__Lib_Math.c,182 :: 		
0x0363	0x00C1      	MOVWF      R1
;__Lib_Math.c,183 :: 		
0x0364	0x0848      	MOVF       R8, 0
;__Lib_Math.c,184 :: 		
0x0365	0x00C0      	MOVWF      R0
;__Lib_Math.c,187 :: 		
L_end_Mul_16X16_U:
0x0366	0x0008      	RETURN
; end of _Mul_16X16_U
_Div_16X16_U:
;__Lib_Math.c,215 :: 		
;__Lib_Math.c,222 :: 		
0x0367	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,223 :: 		
0x0368	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,224 :: 		
0x0369	0x01C8      	CLRF       R8
;__Lib_Math.c,225 :: 		
0x036A	0x01C9      	CLRF       R9
;__Lib_Math.c,226 :: 		
0x036B	0x3010      	MOVLW      16
;__Lib_Math.c,227 :: 		
0x036C	0x00CC      	MOVWF      R12
;__Lib_Math.c,228 :: 		
0x036D	0x0D41      	RLF        R1, 0
;__Lib_Math.c,229 :: 		
0x036E	0x0DC8      	RLF        R8, 1
;__Lib_Math.c,230 :: 		
0x036F	0x0DC9      	RLF        R9, 1
;__Lib_Math.c,231 :: 		
0x0370	0x0844      	MOVF       R4, 0
;__Lib_Math.c,232 :: 		
0x0371	0x02C8      	SUBWF      R8, 1
;__Lib_Math.c,233 :: 		
0x0372	0x0845      	MOVF       R5, 0
;__Lib_Math.c,234 :: 		
0x0373	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,235 :: 		
0x0374	0x0F45      	INCFSZ     R5, 0
;__Lib_Math.c,236 :: 		
0x0375	0x02C9      	SUBWF      R9, 1
;__Lib_Math.c,237 :: 		
0x0376	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,238 :: 		
0x0377	0x2B7F      	GOTO       $+8
;__Lib_Math.c,239 :: 		
0x0378	0x0844      	MOVF       R4, 0
;__Lib_Math.c,240 :: 		
0x0379	0x07C8      	ADDWF      R8, 1
;__Lib_Math.c,241 :: 		
0x037A	0x0845      	MOVF       R5, 0
;__Lib_Math.c,242 :: 		
0x037B	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,243 :: 		
0x037C	0x0F45      	INCFSZ     R5, 0
;__Lib_Math.c,244 :: 		
0x037D	0x07C9      	ADDWF      R9, 1
;__Lib_Math.c,245 :: 		
0x037E	0x1003      	BCF        STATUS, 0
;__Lib_Math.c,246 :: 		
0x037F	0x0DC0      	RLF        R0, 1
;__Lib_Math.c,247 :: 		
0x0380	0x0DC1      	RLF        R1, 1
;__Lib_Math.c,248 :: 		
0x0381	0x0BCC      	DECFSZ     R12, 1
;__Lib_Math.c,249 :: 		
0x0382	0x2B6D      	GOTO       $-21
;__Lib_Math.c,251 :: 		
L_end_Div_16X16_U:
0x0383	0x0008      	RETURN
; end of _Div_16X16_U
_Lcd_Out_CP:
;__Lib_Lcd.c,57 :: 		
;__Lib_Lcd.c,58 :: 		
0x0384	0x1283      	BCF        STATUS, 5
0x0385	0x01AF      	CLRF       Lcd_Out_CP_i_L0
;__Lib_Lcd.c,60 :: 		
L_Lcd_Out_CP2:
0x0386	0x082F      	MOVF       Lcd_Out_CP_i_L0, 0
0x0387	0x072E      	ADDWF      FARG_Lcd_Out_CP_text, 0
0x0388	0x0084      	MOVWF      FSR
0x0389	0x0800      	MOVF       INDF, 0
0x038A	0x1903      	BTFSC      STATUS, 2
0x038B	0x2B94      	GOTO       L_Lcd_Out_CP3
;__Lib_Lcd.c,61 :: 		
0x038C	0x082F      	MOVF       Lcd_Out_CP_i_L0, 0
0x038D	0x072E      	ADDWF      FARG_Lcd_Out_CP_text, 0
0x038E	0x0084      	MOVWF      FSR
0x038F	0x0800      	MOVF       INDF, 0
0x0390	0x00B7      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0391	0x23AD      	CALL       _Lcd_Chr_CP
0x0392	0x0AAF      	INCF       Lcd_Out_CP_i_L0, 1
;__Lib_Lcd.c,62 :: 		
0x0393	0x2B86      	GOTO       L_Lcd_Out_CP2
L_Lcd_Out_CP3:
;__Lib_Lcd.c,63 :: 		
L_end_Lcd_Out_CP:
0x0394	0x0008      	RETURN
; end of _Lcd_Out_CP
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x0395	0x300F      	MOVLW      15
0x0396	0x1283      	BCF        STATUS, 5
0x0397	0x00CC      	MOVWF      R12
0x0398	0x3047      	MOVLW      71
0x0399	0x00CD      	MOVWF      R13
L_Delay_5500us5:
0x039A	0x0BCD      	DECFSZ     R13, 1
0x039B	0x2B9A      	GOTO       L_Delay_5500us5
0x039C	0x0BCC      	DECFSZ     R12, 1
0x039D	0x2B9A      	GOTO       L_Delay_5500us5
0x039E	0x0000      	NOP
0x039F	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x03A0	0x0008      	RETURN
; end of _Delay_5500us
___CC2DW:
;__Lib_System.c,134 :: 		
;__Lib_System.c,137 :: 		
_CC2D_Loop1:
;__Lib_System.c,139 :: 		
0x03A1	0x23BA      	CALL       _____DoICP
0x03A2	0x118A      	BCF        PCLATH, 3
0x03A3	0x120A      	BCF        PCLATH, 4
;__Lib_System.c,141 :: 		
0x03A4	0x0080      	MOVWF      INDF
;__Lib_System.c,142 :: 		
0x03A5	0x0A84      	INCF       FSR, 1
;__Lib_System.c,143 :: 		
0x03A6	0x0AA7      	INCF       ___DoICPAddr, 1
;__Lib_System.c,145 :: 		
0x03A7	0x1903      	BTFSC      STATUS, 2
;__Lib_System.c,146 :: 		
0x03A8	0x0AA8      	INCF       ___DoICPAddr+1, 1
;__Lib_System.c,147 :: 		
0x03A9	0x03C0      	DECF       R0, 1
;__Lib_System.c,149 :: 		
0x03AA	0x1D03      	BTFSS      STATUS, 2
;__Lib_System.c,150 :: 		
0x03AB	0x2BA1      	GOTO       _CC2D_Loop1
;__Lib_System.c,152 :: 		
L_end___CC2DW:
0x03AC	0x0008      	RETURN
; end of ___CC2DW
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x03AD	0x1283      	BCF        STATUS, 5
0x03AE	0x101F      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,53 :: 		
0x03AF	0x0837      	MOVF       FARG_Lcd_Chr_CP_out_char, 0
0x03B0	0x00BC      	MOVWF      FARG_Lcd_Cmd_out_char
0x03B1	0x228E      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x03B2	0x141F      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x03B3	0x0008      	RETURN
; end of _Lcd_Chr_CP
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x03B4	0x3021      	MOVLW      33
0x03B5	0x1283      	BCF        STATUS, 5
0x03B6	0x00CD      	MOVWF      R13
L_Delay_50us2:
0x03B7	0x0BCD      	DECFSZ     R13, 1
0x03B8	0x2BB7      	GOTO       L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x03B9	0x0008      	RETURN
; end of _Delay_50us
_____DoICP:
;__Lib_System.c,6 :: 		
;__Lib_System.c,9 :: 		
0x03BA	0x1283      	BCF        STATUS, 5
0x03BB	0x0828      	MOVF       ___DoICPAddr+1, 0
0x03BC	0x008A      	MOVWF      PCLATH
;__Lib_System.c,10 :: 		
0x03BD	0x0827      	MOVF       ___DoICPAddr, 0
0x03BE	0x0082      	MOVWF      PCL
;__Lib_System.c,12 :: 		
L_end_____DoICP:
0x03BF	0x0008      	RETURN
; end of _____DoICP
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x03C0	0x0000      	NOP
0x03C1	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x03C2	0x0008      	RETURN
; end of _Delay_1us
Symbol List:
//** Routines locations **
//ADDRESS    SIZE    PROCEDURE
//----------------------------------------------
0x0003     [292]    _main
0x0127     [114]    _ch
0x0199     [105]    _IntToStr
0x0202      [77]    _Lcd_Init
0x024F      [63]    _WordToStr
0x028E      [63]    _Lcd_Cmd
0x02CD      [61]    _Lcd_Out
0x030A      [50]    _Lcd_Chr
0x033C      [43]    _Mul_16X16_U
0x0367      [29]    _Div_16X16_U
0x0384      [17]    _Lcd_Out_CP
0x0395      [12]    _Delay_5500us
0x03A1      [12]    ___CC2DW
0x03AD       [7]    _Lcd_Chr_CP
0x03B4       [6]    _Delay_50us
0x03BA       [6]    _____DoICP
0x03C0       [3]    _Delay_1us
//** Variables locations ** 
//ADDRESS    SIZE    VARIABLE
//----------------------------------------------
0x0000       [1]    INDF
0x0002       [1]    PCL
0x0003       [1]    STATUS
0x0004       [1]    FSR
0x0005       [1]    PORTA
0x0006       [0]    RB2_bit
0x0006       [0]    RB1_bit
0x0006       [0]    RB0_bit
0x0006       [0]    RB5_bit
0x0006       [0]    RB4_bit
0x0006       [0]    RB3_bit
0x0006       [0]    LCD_D5
0x0006       [0]    LCD_D6
0x0006       [0]    LCD_D7
0x0006       [0]    LCD_RS
0x0006       [0]    LCD_EN
0x0006       [0]    LCD_D4
0x000A       [1]    PCLATH
0x000C       [1]    _s
0x000D      [15]    ?lstr1_Arithmetic
0x001C       [1]    _N2
0x001D       [2]    _rs
0x001F       [0]    __Lib_Lcd_cmd_status
0x0020       [7]    _r
0x0027       [2]    ___DoICPAddr
0x0029       [2]    _i
0x002B       [2]    _j
0x002D       [1]    _N1
0x002E       [1]    FARG_Lcd_Chr_row
0x002E       [2]    FARG_IntToStr_input
0x002E       [1]    FARG_Lcd_Out_CP_text
0x002E       [2]    FARG_ch_num
0x002E       [1]    FARG_Lcd_Out_row
0x002F       [1]    FARG_Lcd_Chr_column
0x002F       [1]    Lcd_Out_CP_i_L0
0x002F       [1]    FARG_Lcd_Out_column
0x0030       [1]    FARG_Lcd_Chr_out_char
0x0030       [1]    FARG_Lcd_Out_text
0x0030       [1]    FARG_IntToStr_output
0x0031       [1]    Lcd_Out_i_L0
0x0031       [2]    IntToStr_i_L0
0x0033       [2]    IntToStr_negative_L0
0x0035       [2]    IntToStr_inword_L0
0x0037       [2]    FARG_WordToStr_input
0x0037       [1]    FARG_Lcd_Chr_CP_out_char
0x0039       [1]    FARG_WordToStr_output
0x003A       [1]    WordToStr_len_L0
0x003B       [1]    FLOC__WordToStr
0x003C       [1]    FARG_Lcd_Cmd_out_char
0x0040       [1]    R0
0x0041       [1]    R1
0x0042       [1]    R2
0x0043       [1]    R3
0x0044       [1]    R4
0x0045       [1]    R5
0x0046       [1]    R6
0x0047       [1]    R7
0x0048       [1]    R8
0x0049       [1]    R9
0x004A       [1]    R10
0x004B       [1]    R11
0x004C       [1]    R12
0x004D       [1]    R13
0x004E       [1]    R14
0x004F       [1]    R15
0x0085       [1]    TRISA
0x0086       [0]    TRISB3_bit
0x0086       [0]    TRISB2_bit
0x0086       [0]    TRISB1_bit
0x0086       [0]    TRISB4_bit
0x0086       [0]    TRISB5_bit
0x0086       [0]    TRISB0_bit
0x0086       [0]    LCD_D6_Direction
0x0086       [0]    LCD_D7_Direction
0x0086       [0]    LCD_D5_Direction
0x0086       [0]    LCD_RS_Direction
0x0086       [0]    LCD_EN_Direction
0x0086       [0]    LCD_D4_Direction
